iso_code,Country ,WHO Region,Continents,WorldPop,Case,Death,WPPM,CasePM,DeathPM,CFR,CFR100,urban,Popdens,Obesity_rate,Diabetes_prevalence,Old-age,Hypertension,Avg_temp,Tot_Rain
,Curacao,WHO Region of the Americas,South America,192077,262,0,0.192077,1364.036298,0,,,89.025,437.328,,11.7,23.775358,,28.59,576.11
,Cyprus,WHO European Region,Europe,1260138,0,0,1.260138,0,0,,,66.911,145.56,21.8,8.6,20.555784,31,21.32,273.58
,Czech Republic,WHO European Region,Europe,10495295,0,0,10.495295,0,0,,,74.377,140.017,26,7.1,32.199486,42,10.46,823.59
DNK,Denmark,WHO European Region,Europe,5910913,0,0,5.910913,0,0,,,88.367,140.306,19.7,5.3,32.39204,36,9.15,1629.14
DJI,Djibouti,WHO Eastern Mediterranean Region,Africa,1136455,0,0,1.136455,0,0,,,78.38,49.739,13.5,7.4,7.209734,34,28.14,386.6
DOM,Dominica,WHO Region of the Americas,North America,73040,0,0,0.07304,0,0,,,71.7,88.681,27.9,11.7,18.441135,48,28.23,1019.82
,Dominican Republic,WHO Region of the Americas,North America,11332972,0,0,11.332972,0,0,,,83.848,234.548,27.6,10.5,11.554975,49,26.72,1315.96
EGY,Egypt,WHO Eastern Mediterranean Region,Africa,112716598,0,0,112.716598,0,0,,,42.967,115.059,32,20.9,7.939243,38,22.5,9.08
GNQ,Equatorial Guinea,WHO Region of Africa,Africa,1714671,0,0,1.714671,0,0,,,74.01,65.866,8,5.5,6.15139,38,25.05,3668.31
,Eritrea,WHO Region of Africa,Africa,3748901,10588,0,3.748901,2824.294373,0,,,42.625,28.647,5,6.5,7.2607136,24,31.43,311.77
EST,Estonia,WHO European Region,Europe,1322765,0,0,1.322765,0,0,,,69.609,31.454,21.2,6.5,33.10512,40,7.45,769.51
,Eswatini,,Africa,1210822,0,0,1.210822,0,0,,,24.576,70.869,,4.6,6.667982,43,20.13,812.69
ETH,Ethiopia,WHO Region of Africa,Africa,126527060,3304,0,126.52706,26.11299117,0,,,22.661,128.692,4.5,5,5.518587,27,21.65,1622.92
,Falkland Islands,WHO Region of the Americas,South America,3791,0,0,0.003791,0,0,,,,0.286,,,16.414944,,6.21,606.26
,Faroe Islands,,Europe,53270,0,0,0.05327,0,0,,,42.779,39.504,,3.8,28.53487,,7.49,1392.73
,Fiji,WHO Western Pacific Region,Oceania,936375,6238,0,0.936375,6661.8609,0,,,58.229,50.583,30.2,17.7,9.571752,39,25.45,2745.03
FIN,Finland,WHO European Region,Europe,5545475,0,0,5.545475,0,0,,,85.681,18.524,22.2,6.1,38.313972,36,4.73,875.03
FRA,France,WHO European Region,Europe,64756584,85,0,64.756584,1.312607842,0,,,81.509,120.496,21.6,5.3,35.311802,29,10.48,1185.69
,French Polynesia,,Oceania,308872,147,0,0.308872,475.9253024,0,,,62.17,76.308,,25.2,15.418376,,,
,French Southern and Antarctic Lands,,Africa,,0,0,0,0,0,,,,,,,,,,
GAB,Gabon,WHO Region of Africa,Africa,2436566,0,0,2.436566,0,0,,,90.735,9.643,15,5.5,6.81421,37,24.8,2102.86
GMB,Gambia,WHO Region of Africa,Africa,2773168,0,0,2.773168,0,0,,,63.852,266.586,10.3,1.9,5.290152,38,28.68,946.67
GEO,Georgia,WHO European Region,Asia,3728282,0,0,3.728282,0,0,,,60.297,54.792,21.7,5.7,24.055786,45,19.47,1308.33
DEU,Germany,WHO European Region,Europe,83294633,0,0,83.294633,0,0,,,77.648,242.564,22.3,6.9,35.972492,30,10.16,821.92
GHA,Ghana,WHO Region of Africa,Africa,34121985,359,0,34.121985,10.52107607,0,,,58.615,148.492,10.9,2.6,6.033767,34,28.11,1255.54
GRC,Greece,WHO European Region,Europe,10341277,0,0,10.341277,0,0,,,80.357,78.298,24.9,6.4,37.26443,31,13.99,747.47
,Greenland,WHO Region of the Americas,North America,56643,0,0,0.056643,0,0,,,87.727,0.136,,3.3,14.6698065,,-25.52,341.36
,Grenada,WHO Region of the Americas,North America,126183,755,0,0.126183,5983.373355,0,,,36.868,344.356,21.3,12.6,17.36025,47,28.75,964.6
,Grenadines,WHO Region of the Americas,North America,,0,0,0,0,0,,,,,,,,,,
,Guadeloupe,WHO Region of the Americas,North America,395839,7265,0,0.395839,18353.42147,0,,,,231.275,,,38.11866,,28.44,952.29
,Guam,,Oceania,172952,0,0,0.172952,0,0,,,95.091,307.775,,19.1,19.551712,,28.52,2090.31
,Guernsey,WHO Region of the Americas,North America,,0,0,0,0,0,,,,1000.266,,,32.965385,,,
GIN,Guinea,WHO Region of Africa,Africa,14190612,2,0,14.190612,0.140938248,0,,,37.668,58.626,7.7,2.1,6.2204595,41,25.25,2508.59
,Guinea-Bissau,WHO Region of Africa,Africa,2150842,0,0,2.150842,0,0,,,45.041,76.577,9.5,2.1,5.4543185,38,27.52,2305.45
HTI,Haiti,WHO Region of the Americas,North America,11724763,0,0,11.724763,0,0,,,58.82,422.119,22.7,8.9,7.2374034,43,27.38,1522.65
,Heard Island,,Oceania,,0,0,0,0,0,,,,,,,,,,
HUN,Hungary,WHO European Region,Europe,10156239,0,0,10.156239,0,0,,,72.552,106.997,26.4,7,32.160297,48,13.9,468.68
,Iceland,WHO European Region,Europe,375318,0,0,0.375318,0,0,,,93.992,3.866,21.9,5.5,23.02852,28,-3.46,986.57
IDN,Indonesia,WHO Western Pacific Region,Asia,277534122,0,0,277.534122,0,0,,,57.934,147.148,6.9,10.6,10.362277,40,23.13,5950.79
IRN,Iran,WHO Eastern Mediterranean Region,Asia,89172767,0,0,89.172767,0,0,,,76.807,55.631,25.8,9.1,11.431467,26,19.5,146.35
IRQ,Iraq,WHO Eastern Mediterranean Region,Asia,45504560,0,0,45.50456,0,0,,,71.354,103.827,30.4,10.7,5.7074594,48,24.86,138.37
IRL,Ireland,WHO European Region,Europe,5056935,0,0,5.056935,0,0,,,64.183,76.011,25.3,3,23.725014,32,9.47,1070.46
,Isle of Man,,Europe,84710,0,0,0.08471,0,0,,,53.271,147.142,,6.3,36.11032,,11.33,1192.72
ISR,Israel,WHO European Region,Asia,9174520,0,0,9.17452,0,0,,,92.763,427.682,26.1,8.5,20.655157,29,21.19,160.98
ITA,Italy,WHO European Region,Europe,58870762,213,0,58.870762,3.618094836,0,,,71.657,201.029,19.9,6.4,38.002815,34,17.34,696.83
CIV,Ivory Coast,WHO Region of Africa,Africa,28873034,5215,0,28.873034,180.6183583,0,,,52.661,98.005,10.3,2.1,4.5719395,37,26.81,1444.96
JPN,Japan,WHO Western Pacific Region,Asia,123294513,0,0,123.294513,0,0,,,91.955,330.05,4.3,6.6,50.12053,31,9.94,2383.89
,Jersey,WHO Region of the Americas,North America,,0,0,0,0,0,,,,893.746,,,27.868473,,13.03,968.41
JOR,Jordan,WHO Eastern Mediterranean Region,Asia,11337052,0,0,11.337052,0,0,,,91.827,128.829,35.5,15.4,6.7059846,38,18.95,83.16
KAZ,Kazakhstan,WHO European Region,Asia,19606633,0,0,19.606633,0,0,,,57.99,7.531,21,6.6,13.364349,42,5.96,229.71
KEN,Kenya,WHO Region of Africa,Africa,55100586,1603,0,55.100586,29.09224958,0,,,29.002,95.292,7.1,4,4.875848,33,25.87,761.34
