who_region,Country ,WorldPop,WPPM,Hemisphere,Cases,Deaths,Cases/M,Deaths/M,CFR,Climate_Zone,WHO Region,Continents,Cases_Con,Deaths_Con,WorldPop,WPPM,CFR100,Climate_Zone,iso_code,WPPM,urban,Popdens,Obesity_rate,Diabetes_prevalence,Old-age,Hypertension,Avg_temp,Tot_Rain,AQI
EMR,Egypt,112716598,112.716598,Northern,0,0,0,0,,Subtropical,Eastern Mediterranean Region,Africa,168851,152,112716598,112.716598,,Subtropical,EGY,112.716598,42.967,115.059,32,20.9,7.939243,38,22.5,9.08,156
AMR,El Salvador,6314167,6.314167,Northern,8552,9,1354.414604,1.425366165,0.105238541,Tropical,Region of the Americas,North America,1142666,934,6314167,6.314167,0.001052385,Tropical,SLV,6.364943,74.767,304.519,24.6,6.3,11.976953,33,24.55,3219.52,26
EUR,Equatorial Guinea,1634466,1.634466,Northern,0,0,0,0,,Tropical,European Region,Africa,168851,152,1634466,1.634466,,Tropical,GNQ,1.714671,74.01,65.866,8,5.5,6.15139,38,25.05,3668.31,
AFR,Eritrea,3620312,3.620312,Northern,14679,0,4054.622916,0,,Tropical,African Region,Africa,168851,152,3620312,3.620312,,Tropical,ERI,3.748901,42.625,28.647,5,6.5,7.2607136,24,31.43,311.77,
EUR,Estonia,1328701,1.328701,Northern,0,0,0,0,,Polar,European Region,Europe,308,0,1328701,1.328701,,Polar,EST,1.322765,69.609,31.454,21.2,6.5,33.10512,40,7.45,769.51,5
AFR,Eswatini,1210822,1.210822,Southern,0,0,0,0,,Tropical,African Region,Africa,168851,152,1210822,1.210822,,Tropical,SZ,1.210822,24.576,70.869,,4.6,6.667982,43,20.13,812.69,
AFR,Ethiopia,120283026,120.283026,Northern,4016,0,33.38791959,0,,Tropical,African Region,Africa,168851,152,120283026,120.283026,,Tropical,ETH,126.52706,22.661,128.692,4.5,5,5.518587,27,21.65,1622.92,19
,Falkland Islands,3791,0.003791,Southern,0,0,0,0,,Polar,Region of the Americas,South America,11892175,7310,3791,0.003791,,Polar,FK,0.003791,,0.286,,,16.414944,,6.21,606.26,
EUR,Faroe Islands,53270,0.05327,Northern,0,0,0,0,,Polar,European Region,Europe,308,0,53270,0.05327,,Polar,FO,0.05327,42.779,39.504,,3.8,28.53487,,7.49,1392.73,
WPR,Fiji,924610,0.92461,Southern,6238,0,6746.628308,0,,Tropical,Western Pacific Region,Oceania,9640,0,924610,0.92461,,Tropical,FJI,0.936375,58.229,50.583,30.2,17.7,9.571752,39,25.45,2745.03,34
EUR,Finland,5535992,5.535992,Northern,0,0,0,0,,Polar,European Region,Europe,308,0,5535992,5.535992,,Polar,FIN,5.545475,85.681,18.524,22.2,6.1,38.313972,36,4.73,875.03,22
EUR,France,64531444,64.531444,Northern,85,0,1.317187323,0,,Subtropical,European Region,Europe,308,0,64531444,64.531444,,Subtropical,FRA,64.756584,81.509,120.496,21.6,5.3,35.311802,29,10.48,1185.69,38
AMR,French Guiana,297449,0.297449,Northern,16141,8,54264.76472,26.89536694,0.049563224,Tropical,Region of the Americas,South America,11892175,7310,297449,0.297449,0.000495632,Tropical,GUF,0.312155,,3.691,,,11.045797,,,,
WPR,French Polynesia,304032,0.304032,Southern,147,0,483.5017367,0,,Subtropical,Western Pacific Region,Oceania,9640,0,304032,0.304032,,Subtropical,PYF,0.308872,62.17,76.308,,25.2,15.418376,,,,
EUR,French Southern and Antarctic Lands,,0,Southern,0,0,,,,Polar,European Region,Africa,168851,152,,0,,Polar,TF,0,,,,,,,,,
AFR,Gabon,2341179,2.341179,Southern,0,0,0,0,,Tropical,African Region,Africa,168851,152,2341179,2.341179,,Tropical,GAB,2.436566,90.735,9.643,15,5.5,6.81421,37,24.8,2102.86,
AFR,Gambia,2639916,2.639916,Northern,0,0,0,0,,Tropical,African Region,Africa,168851,152,2639916,2.639916,,Tropical,GMB,2.773168,63.852,266.586,10.3,1.9,5.290152,38,28.68,946.67,
EUR,Georgia,3757980,3.75798,Northern,0,0,0,0,,Subtropical,European Region,Asia,884639,1008,3757980,3.75798,,Subtropical,GEO,3.728282,60.297,54.792,21.7,5.7,24.055786,45,19.47,1308.33,67
EUR,Germany,83408554,83.408554,Northern,0,0,0,0,,Subtropical,European Region,Europe,308,0,83408554,83.408554,,Subtropical,DEU,83.294633,77.648,242.564,22.3,6.9,35.972492,30,10.16,821.92,39
AFR,Ghana,32833031,32.833031,Northern,1163,0,35.42164596,0,,Tropical,African Region,Africa,168851,152,32833031,32.833031,,Tropical,GHA,34.121985,58.615,148.492,10.9,2.6,6.033767,34,28.11,1255.54,111
EUR,Greece,10445365,10.445365,Northern,0,0,0,0,,Subtropical,European Region,Europe,308,0,10445365,10.445365,,Subtropical,GRC,10.341277,80.357,78.298,24.9,6.4,37.26443,31,13.99,747.47,60
AMR,Greenland,56643,0.056643,Northern,0,0,0,0,,Polar,Region of the Americas,North America,1142666,934,56643,0.056643,,Polar,GL,0.056643,87.727,0.136,,3.3,14.6698065,,-25.52,341.36,
AMR,Grenada,124610,0.12461,Northern,798,0,6403.980419,0,,Tropical,Region of the Americas,North America,1142666,934,124610,0.12461,,Tropical,GRD,0.126183,36.868,344.356,21.3,12.6,17.36025,47,28.75,964.6,
AMR,Grenadines,,0,Northern,0,0,,,,Tropical,Region of the Americas,North America,1142666,934,,0,,Tropical,VC,0,,,,,,,,,
AMR,Guadeloupe,396051,0.396051,Northern,11025,0,27837.32398,0,,Tropical,Region of the Americas,North America,1142666,934,396051,0.396051,,Tropical,GLP,0.395839,,231.275,,,38.11866,,28.44,952.29,
WPR,Guam,172952,0.172952,Northern,0,0,0,0,,Tropical,Western Pacific Region,Oceania,9640,0,172952,0.172952,,Tropical,GU,0.172952,95.091,307.775,,19.1,19.551712,,28.52,2090.31,
AMR,Guatemala,17608483,17.608483,Northern,188585,188,10709.89477,10.67667215,0.099689795,Tropical,Region of the Americas,North America,1142666,934,17608483,17.608483,0.000996898,Tropical,GTM,18.092026,52.666,169.138,21.2,13.1,17.5,32,26.7,1725.09,84
AFR,Guernsey,,0,Northern,0,0,,,,Polar,African Region,North America,1142666,934,,0,,Polar,GIN,0,,1000.266,,,32.965385,,,,
AFR,Guinea,13531906,13.531906,Northern,2,0,0.147798839,0,,Tropical,African Region,Africa,168851,152,13531906,13.531906,,Tropical,GNB,14.190612,37.668,58.626,7.7,2.1,6.2204595,41,25.25,2508.59,
AMR,Guinea-Bissau,2060721,2.060721,Northern,0,0,0,0,,Tropical,Region of the Americas,Africa,168851,152,2060721,2.060721,,Tropical,GUY,2.150842,45.041,76.577,9.5,2.1,5.4543185,38,27.52,2305.45,
AMR,Guyana,804567,0.804567,Northern,45839,8,56973.50252,9.943236548,0.018170255,Tropical,Region of the Americas,South America,11892175,7310,804567,0.804567,0.000181703,Tropical,HTI,0.813834,27.022,4.198,20.2,11.7,10.086637,40,28.29,1433.35,
AMR,Haiti,11447569,11.447569,Northern,0,0,0,0,,Tropical,Region of the Americas,North America,1142666,934,11447569,11.447569,,Tropical,HT,11.724763,58.82,422.119,22.7,8.9,7.2374034,43,27.38,1522.65,
EUR,Heard Island,,0,Northern,0,0,,,,Polar,European Region,Oceania,9640,0,,0,,Polar,VAT,0,,,,,,,,,
AMR,Honduras,10278345,10.278345,Northern,177209,160,17241.00524,15.56670845,0.090288868,Tropical,Region of the Americas,North America,1142666,934,10278345,10.278345,0.000902889,Tropical,HND,10.593798,59.6,97.593,21.4,8.1,6.633411,34,23.54,1854.62,66
EUR,Hungary,9709786,9.709786,Northern,0,0,0,0,,Polar,European Region,Europe,308,0,9709786,9.709786,,Polar,HUN,10.156239,72.552,106.997,26.4,7,32.160297,48,13.9,468.68,13
EUR,Iceland,370335,0.370335,Northern,0,0,0,0,,Polar,European Region,Europe,308,0,370335,0.370335,,Polar,ISL,0.375318,93.992,3.866,21.9,5.5,23.02852,28,-3.46,986.57,16
SEAR,India,1407563842,1407.563842,Northern,215066,182,152.7930695,0.129301418,0.084625185,Subtropical,South-East Asia Region,Asia,884639,1008,1407563842,1407.563842,0.000846252,Subtropical,IND,1428.627663,35.872,483.679,23.9,9.6,10.173086,31,27.12,1819.55,104
WPR,Indonesia,277534122,277.534122,Northern,0,0,0,0,,Tropical,Western Pacific Region,Asia,884639,1008,277534122,277.534122,,Tropical,IDN,277.534122,57.934,147.148,6.9,10.6,10.362277,40,23.13,5950.79,64
EMR,Iran,89172767,89.172767,Northern,0,0,0,0,,Subtropical,Eastern Mediterranean Region,Asia,884639,1008,89172767,89.172767,,Subtropical,IRN,89.172767,76.807,55.631,25.8,9.1,11.431467,26,19.5,146.35,92
EMR,Iraq,45504560,45.50456,Northern,0,0,0,0,,Subtropical,Eastern Mediterranean Region,Asia,884639,1008,45504560,45.50456,,Subtropical,IRQ,45.50456,71.354,103.827,30.4,10.7,5.7074594,48,24.86,138.37,121
EUR,Ireland,4986526,4.986526,Northern,0,0,0,0,,Subtropical,European Region,Europe,308,0,4986526,4.986526,,Subtropical,IRL,5.056935,64.183,76.011,25.3,3,23.725014,32,9.47,1070.46,36
EUR,Isle of Man,84710,0.08471,Northern,0,0,0,0,,Subtropical,European Region,Europe,308,0,84710,0.08471,,Subtropical,IM,0.08471,53.271,147.142,,6.3,36.11032,,11.33,1192.72,
